accX,accY,accZ
-156,-1944,17204
-3928,-3788,15520
-284,-1848,17204
-608,-1440,16900
76,-1568,16256
-2064,-548,18740
-1544,-1416,18328
-544,-1952,17924
-604,-2268,16752
-732,-2084,17008
-724,-1736,17696
-644,-2276,16792
-592,-2776,17908
-1212,-1516,17948
-708,-1648,17404
-520,-1648,17252
-668,-1508,17248
-1012,-1260,17884
-504,-1244,16884
80,-1840,16828
1404,8876,21788
-3548,-4144,15720
-2576,244,16272
-180,-6740,17844
-424,552,15116
-3196,-552,17936
-500,-996,18480
-1524,-588,16416
-1424,-640,15672
-2148,944,16696
-1252,1052,16996
-1304,-268,17296
-1376,-280,17556
-1500,80,16820
-1588,184,16712
-1336,-36,17248
-1532,-44,16920
-1400,68,17032
-940,232,17296
-1272,612,16268
-1384,-408,17792
-1360,-68,17308
-1760,212,16348
-1464,148,16836
-1372,-184,17332
-1324,-120,17196
-1476,120,16752
-1440,76,17024
-1416,-64,17316
-1420,-4,16952
-1536,112,16956
-1428,40,16932
-1356,-40,17080
-1468,20,16900
-1468,60,16912
-1460,40,16964
-1436,80,17096
-1480,52,17104
-1496,88,16936
-1504,32,17080
-1468,20,17000
-1412,48,16904
-1428,56,16932
-1476,16,16956
-1500,92,16992
-1512,44,16876
-1436,28,16988
-1456,16,17016
-1472,72,16980
-1476,96,16916
-1436,56,17028
-1504,32,16984
-1476,92,16924
-1440,24,16972
-1468,148,16888
-1464,48,17060
-1420,32,17076
-1488,52,16984
-1440,80,16844
-1492,64,17060
-1508,48,16952
-1504,88,17048
-1420,104,17008
-1476,68,17068
-1496,112,16932
-1480,112,17096
-1444,96,17040
-1524,60,16988
-1520,68,16988
-1540,52,17000
-1436,44,16992
-1548,20,17008
-1492,44,16868
-1532,76,17048
-1480,-32,17084
-1512,72,17032
-1488,76,17088
-1512,108,17024
-1488,104,17000
-1480,40,16896
-1576,24,17028
-1560,-12,16932
-1556,40,17024
-1496,44,16956
-1520,48,16968
-1580,36,16972
-1496,72,17008
-1576,52,16984
-1500,40,17036
-1516,104,16988
-1500,80,17012
-1496,72,17000
-1476,36,17036
-1544,56,17028
-1516,40,17084
-1588,52,17080
-1504,44,16984
-1532,88,17020
-1536,96,16932
-1536,116,16992
-1496,80,16960
-1528,36,17048
-1536,72,16900
-1488,36,16940
-1568,120,17016
-1496,172,17000
-1584,60,17076
-1516,64,17092
-1576,80,16976
